"model_name","accuracy","precision","recall","specificity","balanced_accuracy","f1_score","auc","threshold","script_version","method_family","source_stage","model_type","display_model_name","overall_rank","model_key"
"random_forest",0.99813258636788,0.923076923076923,0.923076923076923,0.999054820415879,0.961065871746401,0.923076923076923,0.999636469390723,0.3,"research_layer_step02_five_ml_methods_v1","Machine Learning","R","model","Machine Learning - Random Forest",1,"Machine Learning__R__random_forest"
"wide_neural_network",0.994397759103641,0.705882352941177,0.923076923076923,0.995274102079395,0.959175512578159,0.8,0.999272938781445,0.9,"research_layer_step03_five_dl_methods_v1","Deep Learning","Python","model","Deep Learning - Wide Neural Network",2,"Deep Learning__Python__wide_neural_network"
"shallow_neural_network",0.994397759103641,0.705882352941177,0.923076923076923,0.995274102079395,0.959175512578159,0.8,0.998909408172168,0.95,"research_layer_step03_five_dl_methods_v1","Deep Learning","Python","model","Deep Learning - Shallow Neural Network",3,"Deep Learning__Python__shallow_neural_network"
"dropout_neural_network",0.993464052287582,0.65,1,0.993383742911153,0.996691871455577,0.787878787878788,0.999272938781445,0.8,"research_layer_step03_five_dl_methods_v1","Deep Learning","Python","model","Deep Learning - Dropout Neural Network",4,"Deep Learning__Python__dropout_neural_network"
"deep_neural_network",0.993464052287582,0.65,1,0.993383742911153,0.996691871455577,0.787878787878788,0.99840046531918,0.9,"research_layer_step03_five_dl_methods_v1","Deep Learning","Python","model","Deep Learning - Deep Neural Network",5,"Deep Learning__Python__deep_neural_network"
"logistic_regression",0.993464052287582,0.65,1,0.993383742911153,0.996691871455577,0.787878787878788,0.996691871455577,0.05,"research_layer_step02_five_ml_methods_v1","Machine Learning","R","model","Machine Learning - Logistic Regression",6,"Machine Learning__R__logistic_regression"
"narrow_deep_neural_network",0.989729225023343,0.545454545454545,0.923076923076923,0.99054820415879,0.956812563617857,0.685714285714286,0.997673404100625,0.55,"research_layer_step03_five_dl_methods_v1","Deep Learning","Python","model","Deep Learning - Narrow Deep Neural Network",7,"Deep Learning__Python__narrow_deep_neural_network"
"decision_tree",0.976657329598506,0.342105263157895,1,0.976370510396975,0.988185255198488,0.509803921568628,0.988185255198488,0.05,"research_layer_step02_five_ml_methods_v1","Machine Learning","R","model","Machine Learning - Decision Tree",8,"Machine Learning__R__decision_tree"
"naive_bayes",0.971055088702148,0.295454545454545,1,0.97069943289225,0.985349716446125,0.456140350877193,0.994328922495274,0.95,"research_layer_step02_five_ml_methods_v1","Machine Learning","R","model","Machine Learning - Naive Bayes",9,"Machine Learning__R__naive_bayes"
"support_vector_machine",0.990662931839402,1,0.230769230769231,1,0.615384615384615,0.375,0.996291987785372,0.8,"research_layer_step02_five_ml_methods_v1","Machine Learning","R","model","Machine Learning - Support Vector Machine",10,"Machine Learning__R__support_vector_machine"
"majority_class_baseline",0.987861811391223,0,0,1,0.5,0,0.5,NA,"research_layer_step02_five_ml_methods_v1","Machine Learning","R","baseline","Machine Learning - Majority Class Baseline",11,"Machine Learning__R__majority_class_baseline"
"majority_class_baseline",0.987861811391223,0,0,1,0.5,0,0.5,0,"research_layer_step03_five_dl_methods_v1","Deep Learning","Python","baseline","Deep Learning - Majority Class Baseline",12,"Deep Learning__Python__majority_class_baseline"

