"canonical_entity_id","organisation_name","influence_score","influence_band","rank_overall"
"CORG_002127","microsoft",79.257892,"high",1
"CORG_002418","NVIDIA",72.63232,"high",2
"CORG_001259","google",69.786578,"medium",3
"CORG_002470","research lab",66.197816,"medium",4
"CORG_002112","meta-llama",61.134338,"medium",5
"CORG_000129","agentscope-ai",59.939551,"medium",6
"CORG_000845","deepseek-ai",59.645027,"medium",7
"CORG_002472","OpenBMB",59.55853,"medium",8
"CORG_003923","jinaai",58.612499,"medium",9
"CORG_002399","NousResearch",58.23111,"medium",10
"CORG_003239","Tencent",57.496192,"medium",11
"CORG_002363","NirDiamant",56.971356,"medium",12
"CORG_001399","HKUDS",56.518983,"medium",13
"CORG_000440","Azure-Samples",56.203398,"medium",14
"CORG_001835","langchain-ai",55.966628,"medium",15
"CORG_000573","bytedance",55.588642,"medium",16
"CORG_001434","huggingface",55.567908,"medium",17
"CORG_002727","QwenLM",54.97327,"medium",18
"CORG_001093","facebookresearch",54.943174,"medium",19
"CORG_001718","karpathy",54.941491,"medium",20
"CORG_000228","Alibaba-NLP",54.773185,"medium",21
"CORG_002258","mudler",54.617861,"medium",22
"CORG_003670","zai-org",54.392431,"medium",23
"CORG_000777","dair-ai",54.291896,"medium",24
"CORG_002159","Mintplex-Labs",54.152653,"medium",25



